city,lat,lng,country,iso2,state,capital,population,population_proper
Thursday Island,-10.5789,142.22,Australia,AU,Queensland,,2610,2610
Bamaga,-10.8833,142.3833,Australia,AU,Queensland,,1164,1164
Maningrida,-12.05,134.217,Australia,AU,Northern Territory,,2308,2308
Nhulunbuy,-12.1825,136.7819,Australia,AU,Northern Territory,,3240,3240
Darwin,-12.4381,130.8411,Australia,AU,Northern Territory,admin,136828,136828
Howard Springs,-12.4922,131.053,Australia,AU,Northern Territory,,5132,5132
McMinns Lagoon,-12.5329,131.05,Australia,AU,Northern Territory,,5025,5025
Weipa,-12.6167,141.8667,Australia,AU,Queensland,,3899,3899
Jabiru,-12.6667,132.8333,Australia,AU,Northern Territory,,1081,1081
Port Keats,-14.2333,129.517,Australia,AU,Northern Territory,,2280,2280
Katherine,-14.4667,132.2667,Australia,AU,Northern Territory,,1488,1488
Cooktown,-15.469,145.2515,Australia,AU,Queensland,,2631,2631
Kununurra,-15.7736,128.7386,Australia,AU,Western Australia,,5308,5308
Mossman,-16.4603,145.3733,Australia,AU,Queensland,,1937,1937
Port Douglas,-16.4834,145.4652,Australia,AU,Queensland,,3504,3504
Julatten,-16.6069,145.343,Australia,AU,Queensland,,1091,1091
Kuranda,-16.8197,145.6369,Australia,AU,Queensland,,3008,3008
Smithfield Heights,-16.8314,145.691,Australia,AU,Queensland,,5303,5303
Freshwater,-16.8833,145.717,Australia,AU,Queensland,,2023,2023
Yarrabah Aboriginal Community,-16.9094,145.8703,Australia,AU,Queensland,,2559,2559
Cairns,-16.9303,145.7703,Australia,AU,Queensland,,152729,146778
Mareeba,-16.9833,145.4167,Australia,AU,Queensland,,11079,11079
Gordonvale,-17.0936,145.7866,Australia,AU,Queensland,,6671,6671
Dimbulah,-17.1489,145.111,Australia,AU,Queensland,,1050,1050
Tolga,-17.223,145.4788,Australia,AU,Queensland,,2718,2718
Atherton,-17.2658,145.478,Australia,AU,Queensland,,7331,7331
Yungaburra,-17.2711,145.5831,Australia,AU,Queensland,,1106,1106
Derby,-17.3056,123.6339,Australia,AU,Western Australia,,3325,3325
Babinda,-17.345,145.925,Australia,AU,Queensland,,1253,1253
Malanda,-17.355,145.5958,Australia,AU,Queensland,,1985,1985
Innisfail,-17.5236,146.0292,Australia,AU,Queensland,,7236,1145
Ravenshoe,-17.6058,145.483,Australia,AU,Queensland,,1400,1400
Normanton,-17.6667,141.0667,Australia,AU,Queensland,,1210,1210
Wongaling Beach,-17.9145,146.0972,Australia,AU,Queensland,,1245,1245
Tully,-17.9333,145.9333,Australia,AU,Queensland,,2390,2390
Doomadgee,-17.9443,138.83,Australia,AU,Queensland,,1405,1405
Broome,-17.9619,122.2361,Australia,AU,Western Australia,,14445,4042
Fitzroy Crossing,-18.1944,125.5667,Australia,AU,Western Australia,,1297,1297
Halls Creek,-18.23,127.67,Australia,AU,Western Australia,,1546,1499
Cardwell,-18.2642,146.0258,Australia,AU,Queensland,,1309,1309
Ingham,-18.65,146.1667,Australia,AU,Queensland,,4357,4357
Palm Island,-18.7345,146.5794,Australia,AU,Queensland,,2455,2455
Nelly Bay,-19.1583,146.8486,Australia,AU,Queensland,,1196,1196
Bluewater,-19.1744,146.5503,Australia,AU,Queensland,,1040,1040
Mount Low,-19.2247,146.6808,Australia,AU,Queensland,,4655,4655
Townsville,-19.2564,146.8183,Australia,AU,Queensland,,180820,178649
Jensen,-19.2572,146.641,Australia,AU,Queensland,,1476,1476
Bohle Plains,-19.3136,146.6919,Australia,AU,Queensland,,3205,3205
Alice River,-19.3486,146.6183,Australia,AU,Queensland,,2143,2143
Rasmussen,-19.3497,146.716,Australia,AU,Queensland,,4456,4456
Nome,-19.3594,146.9508,Australia,AU,Queensland,,1016,1016
Alligator Creek,-19.4239,146.946,Australia,AU,Queensland,,1353,1353
Brandon,-19.5541,147.3547,Australia,AU,Queensland,,1094,1094
Ayr,-19.5744,147.4066,Australia,AU,Queensland,,8738,8738
Home Hill,-19.6611,147.4139,Australia,AU,Queensland,,3027,2954
Bowen,-20.0167,148.2333,Australia,AU,Queensland,,10377,10377
Charters Towers,-20.1,146.2667,Australia,AU,Queensland,,8120,8120
Airlie Beach,-20.2744,148.715,Australia,AU,Queensland,,1208,1208
Cannonvale,-20.2863,148.6866,Australia,AU,Queensland,,5716,5716
Port Hedland,-20.31,118.6011,Australia,AU,Western Australia,,14320,4180
Hamilton Island,-20.35,148.95,Australia,AU,Queensland,,1208,1208
Proserpine,-20.4017,148.5814,Australia,AU,Queensland,,3562,3562
Collinsville,-20.5526,147.8452,Australia,AU,Queensland,,1248,1248
Dampier,-20.66,116.71,Australia,AU,Western Australia,,1104,1104
Wickham,-20.675,117.1403,Australia,AU,Western Australia,,2295,2295
Cloncurry,-20.7,140.5,Australia,AU,Queensland,,2719,2719
Mount Isa,-20.7333,139.5,Australia,AU,Queensland,,18588,118
Karratha,-20.7364,116.8464,Australia,AU,Western Australia,,16708,16708
Hughenden,-20.8438,144.1986,Australia,AU,Queensland,,1136,1136
Bucasia,-21.0311,149.1597,Australia,AU,Queensland,,4771,4771
Andergrove,-21.0931,149.186,Australia,AU,Queensland,,9419,9419
Glenella,-21.1197,149.1542,Australia,AU,Queensland,,4519,4519
North Mackay,-21.1216,149.1783,Australia,AU,Queensland,,5933,5933
Mackay,-21.1411,149.1861,Australia,AU,Queensland,,80148,3659
Marian,-21.1453,148.9431,Australia,AU,Queensland,,3903,3903
Walkerston,-21.1608,149.0591,Australia,AU,Queensland,,3403,3403
Mirani,-21.1667,148.8667,Australia,AU,Queensland,,1541,1541
Hay Point,-21.3027,149.2636,Australia,AU,Queensland,,1348,1348
Glenden,-21.3539,148.1144,Australia,AU,Queensland,,1308,620
Sarina,-21.4225,149.2175,Australia,AU,Queensland,,5522,5522
Nullagine,-21.888,120.107,Australia,AU,Western Australia,,1701,1701
Exmouth,-21.9331,114.1281,Australia,AU,Western Australia,,2486,2486
Moranbah,-22.0016,148.0533,Australia,AU,Queensland,,8735,8735
Dysart,-22.5855,148.3508,Australia,AU,Queensland,,2991,2991
Tom Price,-22.6939,117.795,Australia,AU,Western Australia,,3005,3005
Middlemount,-22.8167,148.7,Australia,AU,Queensland,,1914,1841
Clermont,-22.823,147.6383,Australia,AU,Queensland,,3031,3031
Tieri,-23.035,148.3483,Australia,AU,Queensland,,1129,1129
Capella,-23.0667,148.0167,Australia,AU,Queensland,,1010,1010
Yeppoon,-23.1333,150.7333,Australia,AU,Queensland,,19003,6334
Mulambin,-23.1978,150.7885,Australia,AU,Queensland,,1042,921
Paraburdoo,-23.201,117.671,Australia,AU,Western Australia,,1380,1380
Emu Park,-23.2569,150.8264,Australia,AU,Queensland,,2021,2021
Alton Downs,-23.3158,150.3644,Australia,AU,Queensland,,1278,1278
Newman,-23.3539,119.7319,Australia,AU,Western Australia,,4567,4567
Rockhampton,-23.375,150.5117,Australia,AU,Queensland,,78592,78592
Gracemere,-23.4333,150.45,Australia,AU,Queensland,,11315,11315
Longreach,-23.4422,144.2491,Australia,AU,Queensland,,2970,2970
Blackwater,-23.4667,148.7667,Australia,AU,Queensland,,4749,4749
Emerald,-23.5167,148.15,Australia,AU,Queensland,,14119,14119
Barcaldine,-23.5555,145.2888,Australia,AU,Queensland,,1422,1422
Bouldercombe,-23.5767,150.4671,Australia,AU,Queensland,,1085,1085
Mount Morgan,-23.65,150.3833,Australia,AU,Queensland,,1963,1963
Alice Springs,-23.7,133.8667,Australia,AU,Northern Territory,,23726,23726
Gladstone,-23.8489,151.2625,Australia,AU,Queensland,,33418,33418
Parsons Point,-23.8492,151.2733,Australia,AU,Queensland,,1093,1093
Tannum Sands,-23.9474,151.3675,Australia,AU,Queensland,,5145,5145
Boyne Island,-23.9477,151.355,Australia,AU,Queensland,,4760,4760
Calliope,-24.0061,151.1988,Australia,AU,Queensland,,3438,3438
Springsure,-24.1161,148.0886,Australia,AU,Queensland,,1103,1103
Agnes Water,-24.2125,151.9032,Australia,AU,Queensland,,2210,2210
Biloela,-24.4002,150.5133,Australia,AU,Queensland,,5758,5758
Blackall,-24.4167,145.4667,Australia,AU,Queensland,,1416,1416
Moura,-24.5667,150.0167,Australia,AU,Queensland,,1899,1786
Moore Park,-24.7108,152.2388,Australia,AU,Queensland,,2650,2650
Burnett Heads,-24.7667,152.4,Australia,AU,Queensland,,2656,2656
Bargara,-24.8205,152.4625,Australia,AU,Queensland,,7485,7485
Gooburrum,-24.8222,152.3216,Australia,AU,Queensland,,1442,1442
Bundaberg,-24.85,152.35,Australia,AU,Queensland,,70921,70540
Bucca,-24.8625,152.1008,Australia,AU,Queensland,,1027,1027
Innes Park,-24.8661,152.4804,Australia,AU,Queensland,,2302,2302
Monto,-24.8667,151.1167,Australia,AU,Queensland,,1189,1189
Carnarvon,-24.8672,113.6611,Australia,AU,Western Australia,,4426,4426
Sharon,-24.8761,152.2458,Australia,AU,Queensland,,1316,1316
Elliott Heads,-24.9119,152.4902,Australia,AU,Queensland,,1040,1040
Gin Gin,-24.9908,151.9558,Australia,AU,Queensland,,1053,1053
Burrum Heads,-25.1841,152.6138,Australia,AU,Queensland,,2067,2067
Childers,-25.2363,152.2775,Australia,AU,Queensland,,1584,1584
Yulara,-25.2406,130.9889,Australia,AU,Northern Territory,,1099,1099
Toogoom,-25.2459,152.671,Australia,AU,Queensland,,2178,2178
Point Vernon,-25.2538,152.8177,Australia,AU,Queensland,,5699,5699
Craignish,-25.283,152.7288,Australia,AU,Queensland,,1827,1827
Scarness,-25.2833,152.85,Australia,AU,Queensland,,3519,3519
Hervey Bay,-25.2853,152.8728,Australia,AU,Queensland,,54674,54674
Urraween,-25.2955,152.8219,Australia,AU,Queensland,,6969,6969
Howard,-25.3167,152.567,Australia,AU,Queensland,,1359,1359
Booral,-25.3539,152.8897,Australia,AU,Queensland,,1449,1449
River Heads,-25.4133,152.9136,Australia,AU,Queensland,,1539,1539
Aldershot,-25.4625,152.661,Australia,AU,Queensland,,1152,1152
Oakhurst,-25.5125,152.6263,Australia,AU,Queensland,,1444,1444
Maryborough,-25.5375,152.7019,Australia,AU,Queensland,,27282,15406
Mundubbera,-25.5881,151.2991,Australia,AU,Queensland,,1261,1261
Gayndah,-25.6244,151.608,Australia,AU,Queensland,,1981,1981
Rainbow Beach,-25.9075,153.0888,Australia,AU,Queensland,,1249,1249
Tin Can Bay,-25.9167,153.0,Australia,AU,Queensland,,2242,2242
Cooloola Cove,-25.9805,152.9944,Australia,AU,Queensland,,2633,2633
Curra,-26.0708,152.5894,Australia,AU,Queensland,,1920,1920
Gympie,-26.19,152.6655,Australia,AU,Queensland,,21599,10803
The Palms,-26.1902,152.5861,Australia,AU,Queensland,,1010,1010
Murgon,-26.2333,151.95,Australia,AU,Queensland,,2378,2378
Cherbourg,-26.2833,151.95,Australia,AU,Queensland,,1128,1128
Wondai,-26.3183,151.8736,Australia,AU,Queensland,,1973,1973
Cooran,-26.3353,152.8236,Australia,AU,Queensland,,1457,1457
Pomona,-26.3625,152.8564,Australia,AU,Queensland,,2910,2910
Charleville,-26.4016,146.2383,Australia,AU,Queensland,,3335,3335
Cooroy,-26.4166,152.9119,Australia,AU,Queensland,,3791,3791
Peregian Beach,-26.481,153.096,Australia,AU,Queensland,,3791,3791
Eumundi,-26.4833,152.95,Australia,AU,Queensland,,1924,1924
Mitchell,-26.4861,147.9752,Australia,AU,Queensland,,1031,1031
Kingaroy,-26.5333,151.8333,Australia,AU,Queensland,,10398,10020
Yandina,-26.55,152.95,Australia,AU,Queensland,,2221,2221
Yaroomba,-26.55,153.1,Australia,AU,Queensland,,1623,1623
Roma,-26.5733,148.7869,Australia,AU,Queensland,,6848,6848
Marcoola,-26.5833,153.083,Australia,AU,Queensland,,3173,3173
Bli Bli,-26.618,153.037,Australia,AU,Queensland,,7801,7801
Mapleton,-26.6247,152.8666,Australia,AU,Queensland,,1564,1564
Nambour,-26.6269,152.9592,Australia,AU,Queensland,,11187,11187
Miles,-26.6583,150.187,Australia,AU,Queensland,,1746,1746
Nanango,-26.6667,152.0,Australia,AU,Queensland,,3599,3599
Woombye,-26.6667,152.967,Australia,AU,Queensland,,3246,3246
Palmwoods,-26.6883,152.9597,Australia,AU,Queensland,,5676,5676
Witta,-26.6975,152.8119,Australia,AU,Queensland,,1201,1201
Eudlo,-26.7333,152.967,Australia,AU,Queensland,,1117,1117
Chinchilla,-26.7397,150.625,Australia,AU,Queensland,,6612,6612
Maleny,-26.758,152.8513,Australia,AU,Queensland,,3441,3441
Mooloolah,-26.7625,152.9633,Australia,AU,Queensland,,3321,3321
Glenview,-26.7667,153.0167,Australia,AU,Queensland,,1187,1187
Jandowae,-26.7775,151.1108,Australia,AU,Queensland,,1246,1047
Caloundra,-26.7986,153.1289,Australia,AU,Queensland,,41293,41293
Landsborough,-26.8091,152.9655,Australia,AU,Queensland,,3812,3812
Yarraman,-26.8411,151.9841,Australia,AU,Queensland,,1064,1064
Beerwah,-26.8556,152.96,Australia,AU,Queensland,,6769,6769
Glass House Mountains,-26.9,152.9167,Australia,AU,Queensland,,3576,3576
Woodford,-26.9408,152.7669,Australia,AU,Queensland,,3458,3458
Kilcoy,-26.9431,152.5639,Australia,AU,Queensland,,1898,1898
Ningi,-27.0667,153.0833,Australia,AU,Queensland,,4675,4675
Caboolture,-27.0667,152.967,Australia,AU,Queensland,,26433,26433
Woorim,-27.0677,153.2033,Australia,AU,Queensland,,1829,1829
Sandstone Point,-27.0736,153.1233,Australia,AU,Queensland,,3959,3959
Bongaree,-27.0814,153.1633,Australia,AU,Queensland,,6947,6947
Toogoolawah,-27.0852,152.3758,Australia,AU,Queensland,,1279,1279
Beachmere,-27.1294,153.0538,Australia,AU,Queensland,,4112,4112
Burpengary,-27.1442,153.0,Australia,AU,Queensland,,6433,6433
Dalby,-27.1833,151.2667,Australia,AU,Queensland,,12719,12719
Dayboro,-27.1962,152.8243,Australia,AU,Queensland,,1940,1940
Narangba,-27.2015,152.9655,Australia,AU,Queensland,,18573,18573
Esk,-27.2394,152.4197,Australia,AU,Queensland,,1698,1698
Crows Nest,-27.2658,152.058,Australia,AU,Queensland,,2160,2160
Tara,-27.2766,150.4572,Australia,AU,Queensland,,2297,2297
Goombungee,-27.3167,151.7,Australia,AU,Queensland,,1032,1026
Samford,-27.3667,152.8833,Australia,AU,Queensland,,10931,796
Coominya,-27.3919,152.5022,Australia,AU,Queensland,,1200,1200
Meringandan,-27.4166,151.8922,Australia,AU,Queensland,,2211,487
Kleinton,-27.4167,151.95,Australia,AU,Queensland,,1617,1617
Oxford Park,-27.419,153.0255,Australia,AU,Queensland,,4231,4231
Cabarlah,-27.4333,152.0,Australia,AU,Queensland,,1075,1075
Oakey,-27.4338,151.7211,Australia,AU,Queensland,,4705,4705
Fernvale,-27.45,152.65,Australia,AU,Queensland,,3209,3209
Highfields,-27.4581,151.9492,Australia,AU,Queensland,,8131,8131
Lowood,-27.4667,152.5833,Australia,AU,Queensland,,3336,3336
Brisbane,-27.4678,153.0281,Australia,AU,Queensland,admin,2514184,2360241
Corinda,-27.4833,153.1,Australia,AU,Queensland,,11019,11019
Gowrie Junction,-27.5061,151.8816,Australia,AU,Queensland,,2120,2120
Pine Mountain,-27.5333,152.717,Australia,AU,Queensland,,1667,1667
Mount Crosby,-27.54,152.804,Australia,AU,Queensland,,1832,1832
Minden,-27.55,152.5333,Australia,AU,Queensland,,1093,1093
Karana Downs,-27.55,152.817,Australia,AU,Queensland,,3862,3862
Helidon,-27.5506,152.1256,Australia,AU,Queensland,,1059,1059
Withcott,-27.5536,152.0238,Australia,AU,Queensland,,1844,1844
Gatton,-27.5611,152.2755,Australia,AU,Queensland,,7101,7101
Toowoomba,-27.5667,151.95,Australia,AU,Queensland,,136861,135631
Hatton Vale,-27.5667,152.483,Australia,AU,Queensland,,1521,1521
Plainland,-27.5816,152.4163,Australia,AU,Queensland,,1596,1596
Rochedale,-27.5952,153.1233,Australia,AU,Queensland,,15317,15317
Drayton,-27.6,151.906,Australia,AU,Queensland,,1710,1710
Redbank,-27.6,152.867,Australia,AU,Queensland,,1834,1834
Walloon,-27.6,152.6667,Australia,AU,Queensland,,1548,1548
Westbrook,-27.6,151.8333,Australia,AU,Queensland,,3885,3885
Riverview,-27.6,152.85,Australia,AU,Queensland,,3073,3073
Ipswich,-27.6167,152.7667,Australia,AU,Queensland,,163000,163000
Mount Cotton,-27.6188,153.221,Australia,AU,Queensland,,6835,6835
Laidley,-27.6313,152.3938,Australia,AU,Queensland,,3808,3808
Rosewood,-27.6333,152.583,Australia,AU,Queensland,,2834,2834
One Mile,-27.6333,152.733,Australia,AU,Queensland,,2077,2077
Wyreema,-27.65,151.867,Australia,AU,Queensland,,1834,1834
Waterford,-27.6833,153.133,Australia,AU,Queensland,,6431,6431
Cambooya,-27.7077,151.8633,Australia,AU,Queensland,,1584,1584
Kalbarri,-27.71,114.16,Australia,AU,Western Australia,,1349,1349
Ripley,-27.7167,152.8333,Australia,AU,Queensland,,1405,1405
Pittsworth,-27.7167,151.6333,Australia,AU,Queensland,,3294,3294
Park Ridge,-27.7271,153.0332,Australia,AU,Queensland,,1762,1762
Logan Village,-27.7667,153.1,Australia,AU,Queensland,,3586,3586
Jacobs Well,-27.7858,153.3614,Australia,AU,Queensland,,1839,1839
Jimboomba,-27.8333,153.0333,Australia,AU,Queensland,,13201,13201
Cedar Grove,-27.86,152.9742,Australia,AU,Queensland,,2020,2020
Millmerran,-27.8788,151.2683,Australia,AU,Queensland,,1563,1563
Tambourine,-27.8816,153.13,Australia,AU,Queensland,,3950,3950
Clifton,-27.9325,151.9055,Australia,AU,Queensland,,1456,1456
Gleneagle,-27.9405,152.9616,Australia,AU,Queensland,,1877,1877
Kalbar,-27.9419,152.6233,Australia,AU,Queensland,,1093,1093
Southport,-27.9667,153.4,Australia,AU,Queensland,,31908,31908
North Tamborine,-27.9694,153.1992,Australia,AU,Queensland,,7506,7506
Beaudesert,-27.988,152.9958,Australia,AU,Queensland,,6395,6395
Nerang,-27.9956,153.322,Australia,AU,Queensland,,16864,16864
Boonah,-27.9997,152.6816,Australia,AU,Queensland,,2484,2484
Gold Coast,-28.0167,153.4,Australia,AU,Queensland,,679127,638090
Canungra,-28.0195,153.1652,Australia,AU,Queensland,,1229,1229
Allora,-28.0355,151.9802,Australia,AU,Queensland,,1223,1223
Saint George,-28.0363,148.5797,Australia,AU,Queensland,,3048,3048
Lower Beechmont,-28.047,153.247,Australia,AU,New South Wales,,1046,1046
Merrimac,-28.05,153.3667,Australia,AU,New South Wales,,7071,7071
Cunnamulla,-28.0702,145.6825,Australia,AU,Queensland,,1140,1140
Kooralbyn,-28.0725,152.8208,Australia,AU,Queensland,,1725,1725
Tallebudgera,-28.1489,153.418,Australia,AU,Queensland,,3667,3667
Currumbin,-28.158,153.469,Australia,AU,Queensland,,9121,9121
Tweed Heads,-28.1833,153.55,Australia,AU,New South Wales,,8176,8176
Warwick,-28.2152,152.0352,Australia,AU,Queensland,,15380,12222
Banora Point,-28.2225,153.5386,Australia,AU,New South Wales,,16167,16167
Terranora,-28.2456,153.5025,Australia,AU,New South Wales,,2926,2926
Kingscliff,-28.2564,153.5781,Australia,AU,New South Wales,,7464,7464
Chinderah,-28.2567,153.5344,Australia,AU,New South Wales,,1566,1566
South Murwillumbah,-28.3317,153.4094,Australia,AU,New South Wales,,1114,1114
Bogangar,-28.3317,153.5594,Australia,AU,New South Wales,,3060,3060
Murwillumbah,-28.3333,153.3833,Australia,AU,New South Wales,,7032,7032
Pottsville,-28.3869,153.5608,Australia,AU,New South Wales,,6704,6704
Ocean Shores,-28.5092,153.5375,Australia,AU,New South Wales,,5137,5137
Goondiwindi,-28.5461,150.3097,Australia,AU,Queensland,,6355,6355
Mullumbimby,-28.55,153.5,Australia,AU,New South Wales,,3172,3172
Brunswick Heads,-28.5586,153.5447,Australia,AU,New South Wales,,1737,1737
Nimbin,-28.6,153.2333,Australia,AU,New South Wales,,2000,2000
Kyogle,-28.6167,153.0,Australia,AU,New South Wales,,2197,2197
Byron Bay,-28.6483,153.6178,Australia,AU,New South Wales,,5521,5521
Stanthorpe,-28.6547,151.935,Australia,AU,Queensland,,5406,5406
Drummond Cove,-28.673,114.613,Australia,AU,Western Australia,,1477,1477
Bangalow,-28.6817,153.5178,Australia,AU,New South Wales,,2021,2021
Suffolk Park,-28.6983,153.6178,Australia,AU,New South Wales,,3750,3750
Geraldton,-28.7744,114.6089,Australia,AU,Western Australia,,37648,37648
Lennox Head,-28.7983,153.5844,Australia,AU,New South Wales,,6407,6407
Lismore Heights,-28.8044,153.3,Australia,AU,New South Wales,,2193,2193
Goonellabah,-28.815,153.3178,Australia,AU,New South Wales,,12900,12900
Wollongbar,-28.815,153.4011,Australia,AU,New South Wales,,2828,2828
Lismore,-28.8167,153.2833,Australia,AU,New South Wales,,28720,3579
Cumbalum,-28.8317,153.5344,Australia,AU,New South Wales,,1522,1522
Alstonville,-28.8317,153.4344,Australia,AU,New South Wales,,5739,5739
Ballina,-28.8333,153.5333,Australia,AU,New South Wales,,26381,3023
Casino,-28.8483,153.0511,Australia,AU,New South Wales,,10914,10914
East Ballina,-28.8594,153.5872,Australia,AU,New South Wales,,5571,5571
Coraki,-28.9983,153.2844,Australia,AU,New South Wales,,1277,1277
Coober Pedy,-29.0111,134.7556,Australia,AU,South Australia,,1762,1762
Tenterfield,-29.0553,152.0178,Australia,AU,New South Wales,,4066,4066
Evans Head,-29.115,153.4344,Australia,AU,New South Wales,,2847,2847
Dongara,-29.251,114.934,Australia,AU,Western Australia,,1380,1380
Port Denison,-29.2833,114.9167,Australia,AU,Western Australia,,1410,1410
Iluka,-29.4067,153.3511,Australia,AU,New South Wales,,1718,1718
Warialda,-29.4097,150.5217,Australia,AU,New South Wales,,1590,1590
Yamba,-29.4333,153.35,Australia,AU,New South Wales,,6076,6076
Lightning Ridge,-29.4483,147.9678,Australia,AU,New South Wales,,2284,2284
Maclean,-29.4567,153.2011,Australia,AU,New South Wales,,2628,2628
Moree,-29.465,149.8344,Australia,AU,New South Wales,,9311,9311
Gulmarrad,-29.49,153.2344,Australia,AU,New South Wales,,1694,1694
Lawrence,-29.4983,153.1011,Australia,AU,New South Wales,,1046,1046
Waterview Heights,-29.665,152.8678,Australia,AU,New South Wales,,1325,1325
Grafton,-29.6833,152.9333,Australia,AU,New South Wales,,19078,10408
South Grafton,-29.715,152.9344,Australia,AU,New South Wales,,6068,6068
Glen Innes,-29.75,151.7361,Australia,AU,New South Wales,,6155,6155
Inverell,-29.7817,151.1178,Australia,AU,New South Wales,,11660,11660
Coutts Crossing,-29.8317,152.8844,Australia,AU,New South Wales,,1060,1060
Bingara,-29.865,150.5678,Australia,AU,New South Wales,,1428,1428
Brewarrina,-29.9483,146.8678,Australia,AU,New South Wales,,1143,1143
Corindi Beach,-30.0317,153.2011,Australia,AU,New South Wales,,1686,1686
Walgett,-30.0317,148.1011,Australia,AU,New South Wales,,2145,2145
Bourke,-30.0817,145.9511,Australia,AU,New South Wales,,1909,1909
Woolgoolga,-30.115,153.2011,Australia,AU,New South Wales,,5290,5290
Nana Glen,-30.1317,153.0011,Australia,AU,New South Wales,,1055,1055
Sandy Beach,-30.1483,153.2011,Australia,AU,New South Wales,,2287,2287
Emerald Beach,-30.165,153.1844,Australia,AU,New South Wales,,2234,2234
Moonee Beach,-30.2057,153.1529,Australia,AU,New South Wales,,1933,1933
Wee Waa,-30.215,149.4344,Australia,AU,New South Wales,,2080,2080
Guyra,-30.215,151.6678,Australia,AU,New South Wales,,2027,2027
Mid Sapphire Beach,-30.2317,153.1511,Australia,AU,New South Wales,,2084,2084
Korora,-30.2503,153.1156,Australia,AU,New South Wales,,2488,2488
Jurien Bay,-30.297,115.042,Australia,AU,Western Australia,,1761,1761
Coffs Harbour,-30.3022,153.1189,Australia,AU,New South Wales,,71822,25752
Narrabri,-30.3317,149.7678,Australia,AU,New South Wales,,7606,7606
Boambee,-30.3317,153.0844,Australia,AU,New South Wales,,1668,1668
Sawtell,-30.365,153.1011,Australia,AU,New South Wales,,3682,3682
Barraba,-30.3817,150.6178,Australia,AU,New South Wales,,1410,1410
Bonville,-30.3833,153.05,Australia,AU,New South Wales,,2554,2554
Dorrigo,-30.399,152.7533,Australia,AU,New South Wales,,1191,1191
Bellingen,-30.4483,152.9011,Australia,AU,New South Wales,,3779,3779
Urunga,-30.4983,153.0178,Australia,AU,New South Wales,,3000,3000
Armidale,-30.5,151.65,Australia,AU,New South Wales,,24504,24504
Roxby Downs,-30.5625,136.8785,Australia,AU,South Australia,,4500,3884
Valla Beach,-30.59,153.0075,Australia,AU,New South Wales,,1313,1313
