city,lat,lng,country,iso2,state,capital,population,population_proper
Bowraville,-30.6317,152.8642,Australia,AU,New South Wales,,1122,1122
Moora,-30.638,116.01,Australia,AU,Western Australia,,1773,1773
Nambucca Heads,-30.6414,152.9906,Australia,AU,New South Wales,,6327,6327
Uralla,-30.6472,151.4956,Australia,AU,New South Wales,,2743,2743
Boggabri,-30.715,150.0344,Australia,AU,New South Wales,,1130,1130
Macksville,-30.7175,152.9172,Australia,AU,New South Wales,,2598,2598
Manilla,-30.7483,150.7178,Australia,AU,New South Wales,,2550,2550
Kalgoorlie,-30.7489,121.4658,Australia,AU,Western Australia,,29849,29849
South West Rocks,-30.8842,153.0403,Australia,AU,New South Wales,,4603,4603
Coonamble,-30.9317,148.3678,Australia,AU,New South Wales,,2750,2750
Gunnedah,-30.9667,150.25,Australia,AU,New South Wales,,9726,9726
Moore,-30.9789,150.8692,Australia,AU,New South Wales,,2368,2368
Walcha,-30.9833,151.6,Australia,AU,New South Wales,,2553,2553
Moonbi,-31.0167,151.0667,Australia,AU,New South Wales,,1126,1126
Frederickton,-31.0317,152.8678,Australia,AU,New South Wales,,1391,1391
Kootingal,-31.0567,151.0511,Australia,AU,New South Wales,,2126,2126
Aldavilla,-31.0817,152.7678,Australia,AU,New South Wales,,1230,1230
Kempsey,-31.0833,152.8333,Australia,AU,New South Wales,,15309,474
Tamworth,-31.0833,150.9167,Australia,AU,New South Wales,,42872,180
West Tamworth,-31.0894,150.9436,Australia,AU,New South Wales,,5342,5342
Crescent Head,-31.19,152.9761,Australia,AU,New South Wales,,1531,1531
Kambalda,-31.2,121.67,Australia,AU,Western Australia,,2539,2539
Kambalda West,-31.2114,121.7129,Australia,AU,Western Australia,,1789,1789
Coonabarabran,-31.265,149.2678,Australia,AU,New South Wales,,3290,3290
Werris Creek,-31.3483,150.6511,Australia,AU,New South Wales,,1572,1572
Bindoon,-31.38,116.097,Australia,AU,Western Australia,,1183,1183
Port Macquarie,-31.4333,152.9,Australia,AU,New South Wales,,47973,44830
Wauchope,-31.465,152.7344,Australia,AU,New South Wales,,6312,6312
Merredin,-31.482,118.279,Australia,AU,Western Australia,,2850,2850
Two Rocks,-31.495,115.588,Australia,AU,Western Australia,,2990,2990
Cobar,-31.4997,145.8319,Australia,AU,New South Wales,,3990,3990
Quirindi,-31.5081,150.68,Australia,AU,New South Wales,,3444,3444
Lake Cathie,-31.5483,152.8511,Australia,AU,New South Wales,,3494,3494
Toodyay,-31.55,116.45,Australia,AU,Western Australia,,1408,1408
Yanchep,-31.55,115.634,Australia,AU,Western Australia,,8868,8868
Lower Chittering,-31.556,116.087,Australia,AU,Western Australia,,2127,2127
Nyngan,-31.5667,147.2,Australia,AU,New South Wales,,2159,2159
Bonny Hills,-31.5817,152.8344,Australia,AU,New South Wales,,2971,2971
Kew,-31.6317,152.7178,Australia,AU,New South Wales,,1089,1089
North Haven,-31.6317,152.8178,Australia,AU,New South Wales,,1670,1670
Kendall,-31.6322,152.7056,Australia,AU,New South Wales,,1141,1141
Camden Haven,-31.6483,152.8011,Australia,AU,New South Wales,,1986,1986
Dunbogan,-31.65,152.8167,Australia,AU,New South Wales,,1002,1002
Northam,-31.6531,116.6661,Australia,AU,Western Australia,,6548,6548
Bullsbrook,-31.663,116.03,Australia,AU,Western Australia,,5448,5448
Warren,-31.6983,147.8344,Australia,AU,New South Wales,,1389,1389
Gilgandra,-31.7,148.6667,Australia,AU,New South Wales,,3126,3126
Bakers Hill,-31.751,116.455,Australia,AU,Western Australia,,1118,1118
Murrurundi,-31.765,150.8344,Australia,AU,New South Wales,,1038,1038
Wundowie,-31.7667,116.383,Australia,AU,Western Australia,,1352,1352
Wooroloo,-31.803,116.314,Australia,AU,Western Australia,,2642,2642
Coolah,-31.8317,149.7178,Australia,AU,New South Wales,,1290,1290
Wingham,-31.85,152.367,Australia,AU,New South Wales,,5374,5374
Chidlow,-31.857,116.272,Australia,AU,Western Australia,,1828,1828
Cundletown,-31.8817,152.5178,Australia,AU,New South Wales,,2054,2054
York,-31.8883,116.7686,Australia,AU,Western Australia,,2548,2535
Taree,-31.9,152.45,Australia,AU,New South Wales,,26381,16197
Gin Gin,-31.9114,148.0897,Australia,AU,New South Wales,,1053,1053
Tinonee,-31.9483,152.4178,Australia,AU,New South Wales,,1092,1092
Perth,-31.9522,115.8589,Australia,AU,Western Australia,admin,2059484,2039200
Broken Hill,-31.9567,141.4678,Australia,AU,New South Wales,,17734,17734
Old Bar,-31.9667,152.583,Australia,AU,New South Wales,,4389,4389
Lesmurdie,-31.994,116.05,Australia,AU,Western Australia,,8437,8437
Bentley,-32.001,115.924,Australia,AU,Western Australia,,8782,8782
Gloucester,-32.0094,151.9603,Australia,AU,New South Wales,,2975,2975
Dunedoo,-32.015,149.3928,Australia,AU,New South Wales,,1221,1221
Cannington,-32.0167,115.95,Australia,AU,Western Australia,,5929,5929
Fremantle,-32.0569,115.7439,Australia,AU,Western Australia,,7459,7459
Scone,-32.0833,150.85,Australia,AU,New South Wales,,5624,5624
Beverley,-32.109,116.926,Australia,AU,Western Australia,,1163,1163
Ceduna,-32.1167,133.6667,Australia,AU,South Australia,,2157,2157
Merriwa,-32.1317,150.3511,Australia,AU,New South Wales,,1761,1761
Ceduna,-32.1333,133.6833,Australia,AU,Tasmania,,1850,1850
Aberdeen,-32.165,150.9011,Australia,AU,New South Wales,,2084,2084
Tuncurry,-32.175,152.4989,Australia,AU,New South Wales,,6186,6186
Forster,-32.1806,152.5117,Australia,AU,New South Wales,,13740,13740
Narromine,-32.2333,148.2333,Australia,AU,New South Wales,,4689,4689
Kwinana,-32.2394,115.7702,Australia,AU,Western Australia,,20086,17549
Dubbo,-32.2569,148.6011,Australia,AU,New South Wales,,38392,38392
Muswellbrook,-32.2654,150.8885,Australia,AU,New South Wales,,12364,12075
Mundijong,-32.284,115.973,Australia,AU,Western Australia,,1232,1232
Jarrahdale,-32.339,116.062,Australia,AU,Western Australia,,1192,1192
Quorn,-32.3495,138.0406,Australia,AU,South Australia,,1131,1131
Serpentine,-32.365,115.981,Australia,AU,Western Australia,,1265,1265
Gulgong,-32.365,149.5344,Australia,AU,New South Wales,,2521,2521
Smiths Lake,-32.3747,152.5036,Australia,AU,New South Wales,,1235,1235
Bulahdelah,-32.3831,152.1953,Australia,AU,New South Wales,,1424,1424
Denman,-32.3833,150.6833,Australia,AU,New South Wales,,1789,1789
Dungog,-32.4047,151.7528,Australia,AU,New South Wales,,2025,2025
Port Augusta,-32.4925,137.7658,Australia,AU,South Australia,,13799,6562
Stirling North,-32.5167,137.8333,Australia,AU,South Australia,,2673,2673
Mandurah,-32.5289,115.7231,Australia,AU,Western Australia,,7837,7837
Wellington,-32.55,148.9333,Australia,AU,New South Wales,,4077,4077
Singleton,-32.5667,151.1697,Australia,AU,New South Wales,,16346,5000
Yunderup,-32.5833,115.8,Australia,AU,Western Australia,,3114,3114
Ravenswood,-32.5833,115.833,Australia,AU,Western Australia,,2176,2176
Clarence Town,-32.5842,151.7819,Australia,AU,New South Wales,,1994,1994
Mudgee,-32.6125,149.5872,Australia,AU,New South Wales,,10923,10923
Pinjarra,-32.63,115.8711,Australia,AU,Western Australia,,4910,4910
Hawks Nest,-32.63,152.2006,Australia,AU,New South Wales,,1223,1223
Karuah,-32.6431,151.9572,Australia,AU,New South Wales,,1411,1411
Branxton,-32.6483,151.3511,Australia,AU,New South Wales,,1991,1991
Tea Gardens,-32.6669,152.1594,Australia,AU,New South Wales,,2884,2884
Greta,-32.6872,151.3844,Australia,AU,New South Wales,,2830,2830
Peak Hill,-32.7075,148.0514,Australia,AU,New South Wales,,1106,1106
Nelson Bay,-32.715,152.1511,Australia,AU,New South Wales,,11820,11820
Rutherford,-32.715,151.5317,Australia,AU,New South Wales,,11884,11884
Maitland,-32.7167,151.55,Australia,AU,New South Wales,,78015,1885
Raworth,-32.7289,151.615,Australia,AU,New South Wales,,1788,1788
Salamander Bay,-32.7292,152.0894,Australia,AU,New South Wales,,4815,4815
Raymond Terrace,-32.7615,151.7441,Australia,AU,New South Wales,,12820,12820
Anna Bay,-32.7817,152.0844,Australia,AU,New South Wales,,3846,3846
Streaky Bay,-32.8,134.2167,Australia,AU,South Australia,,1378,1378
Boddington,-32.802,116.471,Australia,AU,Western Australia,,1198,1198
Heddon Greta,-32.8058,151.5103,Australia,AU,New South Wales,,2047,2047
Abermain,-32.8072,151.4275,Australia,AU,New South Wales,,2337,2337
Weston,-32.8103,151.4561,Australia,AU,New South Wales,,3693,3693
Kurri Kurri,-32.8167,151.4833,Australia,AU,New South Wales,,6044,6044
Cessnock,-32.8342,151.3555,Australia,AU,New South Wales,,21725,15177
Aberdare,-32.8428,151.3803,Australia,AU,New South Wales,,2473,2473
Kandos,-32.8483,149.9678,Australia,AU,New South Wales,,1315,1315
Bellbird,-32.855,151.3183,Australia,AU,New South Wales,,2032,2032
Waroona,-32.8667,115.9167,Australia,AU,Western Australia,,2934,2934
Millfield,-32.8886,151.2614,Australia,AU,New South Wales,,1006,1006
Ellalong,-32.9072,151.3214,Australia,AU,New South Wales,,1098,1098
Newcastle,-32.9167,151.75,Australia,AU,New South Wales,,322278,152984
Narrogin,-32.936,117.178,Australia,AU,Western Australia,,4274,4274
Peterborough,-32.9667,138.8333,Australia,AU,South Australia,,1416,1416
Whyalla,-33.0333,137.5667,Australia,AU,South Australia,,21742,21742
Cooranbong,-33.074,151.451,Australia,AU,New South Wales,,5449,5449
Harvey,-33.08,115.89,Australia,AU,Western Australia,,2750,2750
Condobolin,-33.0886,147.1494,Australia,AU,New South Wales,,3486,3486
Parkes,-33.095,148.2628,Australia,AU,New South Wales,,11408,11408
Molong,-33.0981,148.8561,Australia,AU,New South Wales,,2577,2577
Morisset,-33.115,151.5011,Australia,AU,New South Wales,,2857,2857
Binningup,-33.149,115.689,Australia,AU,Western Australia,,1227,1227
Port Pirie,-33.1858,138.0169,Australia,AU,South Australia,,14188,195
Jamestown,-33.2053,138.6019,Australia,AU,South Australia,,1561,1561
Leschenault,-33.245,115.735,Australia,AU,Western Australia,,2932,2932
Australind,-33.2792,115.715,Australia,AU,Western Australia,,14539,14539
Wyong,-33.282,151.418,Australia,AU,New South Wales,,4326,4326
Orange,-33.2833,149.1,Australia,AU,New South Wales,,40493,38097
Lake Cargelligo,-33.2983,146.3678,Australia,AU,New South Wales,,1479,1479
Wagin,-33.3167,117.35,Australia,AU,Western Australia,,1824,1495
Bunbury,-33.3333,115.6333,Australia,AU,Western Australia,,74363,71090
The Entrance,-33.3472,151.496,Australia,AU,New South Wales,,4006,4006
Crystal Brook,-33.35,138.2,Australia,AU,South Australia,,1515,1515
Collie,-33.363,116.156,Australia,AU,Western Australia,,7192,7192
Forbes,-33.3833,148.0167,Australia,AU,New South Wales,,8432,8432
Wallerawang,-33.4067,150.0678,Australia,AU,New South Wales,,1980,1980
Kelso,-33.4186,149.6056,Australia,AU,New South Wales,,8968,8968
Bathurst,-33.42,149.5778,Australia,AU,New South Wales,,36801,35020
Central Coast,-33.42,151.3,Australia,AU,New South Wales,,3026,3026
Gosford,-33.4233,151.3414,Australia,AU,New South Wales,,3499,3499
Raglan,-33.4317,149.6511,Australia,AU,New South Wales,,1199,1199
Millthorpe,-33.4483,149.1844,Australia,AU,New South Wales,,1253,1253
Hillston,-33.4817,145.5344,Australia,AU,New South Wales,,1465,1465
Lithgow,-33.4833,150.15,Australia,AU,New South Wales,,12973,5201
Boyanup,-33.4861,115.73,Australia,AU,Western Australia,,1217,1217
Blayney,-33.5333,149.25,Australia,AU,New South Wales,,3378,3378
Kurrajong Heights,-33.55,150.6667,Australia,AU,New South Wales,,1342,1342
Freemans Reach,-33.5567,150.8011,Australia,AU,New South Wales,,1973,1973
Capel,-33.557,115.57,Australia,AU,Western Australia,,2509,2509
Wilberforce,-33.5594,150.841,Australia,AU,New South Wales,,3007,3007
Canowindra,-33.5667,148.6667,Australia,AU,New South Wales,,2258,2258
Donnybrook,-33.58,115.82,Australia,AU,Western Australia,,2824,2824
Bowen Mountain,-33.5817,150.6344,Australia,AU,New South Wales,,1571,1571
Port Broughton,-33.5833,137.9356,Australia,AU,South Australia,,1034,1034
Richmond,-33.5983,150.7511,Australia,AU,New South Wales,,5482,5482
Windsor,-33.6114,150.8133,Australia,AU,New South Wales,,1891,1891
Dunsborough,-33.6167,115.1,Australia,AU,Western Australia,,5320,5320
Blackheath,-33.6311,150.2911,Australia,AU,New South Wales,,4396,4396
Yallingup,-33.6397,115.0263,Australia,AU,Western Australia,,1029,1029
Busselton,-33.6478,115.3458,Australia,AU,Western Australia,,25329,25329
Bay View,-33.6592,151.2861,Australia,AU,New South Wales,,3620,3620
Burra,-33.6667,138.9333,Australia,AU,South Australia,,1103,1103
Quindalup,-33.6671,115.1451,Australia,AU,Western Australia,,1336,1336
Cowell,-33.6833,136.9167,Australia,AU,South Australia,,1109,1109
Faulconbridge,-33.6875,150.5439,Australia,AU,New South Wales,,4025,4025
Vasse,-33.69,115.3,Australia,AU,Western Australia,,2479,2479
Katanning,-33.6908,117.5553,Australia,AU,Western Australia,,3687,3687
Wahroonga,-33.6928,151.1261,Australia,AU,New South Wales,,1998,1998
Springwood,-33.6967,150.5683,Australia,AU,New South Wales,,8475,8475
Yellow Rock,-33.6983,150.6344,Australia,AU,New South Wales,,1029,1029
Valley Heights,-33.7,150.5833,Australia,AU,New South Wales,,1211,1211
Katoomba,-33.715,150.3128,Australia,AU,New South Wales,,7964,7964
Wentworth Falls,-33.7164,150.3772,Australia,AU,New South Wales,,6076,6076
Leura,-33.7167,150.3333,Australia,AU,New South Wales,,4644,4644
Oberon,-33.7167,149.8667,Australia,AU,New South Wales,,3256,3256
Lawson,-33.7178,150.4322,Australia,AU,New South Wales,,2614,2614
Quakers Hill,-33.7344,150.8789,Australia,AU,New South Wales,,27080,27080
Blaxland,-33.7453,150.6175,Australia,AU,New South Wales,,7451,7451
Emu Plains,-33.7483,150.6678,Australia,AU,New South Wales,,8421,8421
Penrith,-33.7511,150.6942,Australia,AU,New South Wales,,13295,13295
Glenbrook,-33.765,150.6267,Australia,AU,New South Wales,,5051,5051
Curl Curl,-33.765,151.3011,Australia,AU,New South Wales,,4117,4117
Cowra,-33.8183,148.6578,Australia,AU,New South Wales,,10063,10063
Wentworthville,-33.8233,150.9678,Australia,AU,New South Wales,,6197,6197
Clare,-33.8333,138.6,Australia,AU,South Australia,,3160,3160
Kojonup,-33.84,117.15,Australia,AU,Western Australia,,1165,1165
Concord,-33.8444,151.0903,Australia,AU,New South Wales,,5914,5914
Cowaramup,-33.85,115.11,Australia,AU,Western Australia,,1902,1902
Granville,-33.8578,151.0106,Australia,AU,New South Wales,,5500,5500
Strathfield,-33.8606,151.0886,Australia,AU,New South Wales,,4767,4767
Esperance,-33.8611,121.8919,Australia,AU,Western Australia,,12145,2144
Sydney,-33.865,151.2094,Australia,AU,New South Wales,admin,5312163,4840600
Warragamba,-33.8817,150.6011,Australia,AU,New South Wales,,1241,1241
Grenfell,-33.9097,148.195,Australia,AU,New South Wales,,2573,2573
Silverdale,-33.915,150.6094,Australia,AU,New South Wales,,3682,3682
Wallaroo,-33.9167,137.6167,Australia,AU,South Australia,,3988,3481
West Wyalong,-33.9167,147.2167,Australia,AU,New South Wales,,3141,3141
Margaret River,-33.955,115.075,Australia,AU,Western Australia,,6392,6392
East Hills,-33.9567,150.9844,Australia,AU,New South Wales,,3206,3206
Bridgetown,-33.9583,116.1381,Australia,AU,Western Australia,,2812,2812
Kadina,-33.9625,137.7125,Australia,AU,South Australia,,4587,2849
Port Moonta,-34.05,137.567,Australia,AU,South Australia,,2344,2344
Camden,-34.0544,150.6958,Australia,AU,New South Wales,,3230,3230
Campbelltown,-34.0733,150.8261,Australia,AU,New South Wales,,12566,12566
The Oaks,-34.0817,150.5678,Australia,AU,New South Wales,,2525,2525
Oakdale,-34.0817,150.5011,Australia,AU,New South Wales,,1843,1843
Wentworth,-34.0833,141.9,Australia,AU,New South Wales,,1437,1437
Menangle,-34.1233,150.7428,Australia,AU,New South Wales,,1150,1150
Balaklava,-34.149,138.4145,Australia,AU,South Australia,,1902,1902
Riverton,-34.15,138.733,Australia,AU,South Australia,,1036,1036
Renmark West,-34.1653,140.7097,Australia,AU,South Australia,,1301,1301
Gol Gol,-34.1667,142.2167,Australia,AU,New South Wales,,1523,1523
Paringa,-34.1667,140.7833,Australia,AU,South Australia,,1105,1105
Waikerie,-34.1667,139.9833,Australia,AU,South Australia,,2684,2684
Merbein,-34.1667,142.05,Australia,AU,Victoria,,2713,2713
Buronga,-34.1706,142.1733,Australia,AU,New South Wales,,1212,1212
Renmark,-34.1741,140.7418,Australia,AU,South Australia,,4634,4634
Picton,-34.1817,150.6011,Australia,AU,New South Wales,,4816,4816
Helensburgh,-34.1833,151.0,Australia,AU,New South Wales,,6383,6383
Mildura,-34.1889,142.1583,Australia,AU,Victoria,,32738,32738
Douglas Park,-34.19,150.7011,Australia,AU,New South Wales,,1362,1362
Thirlmere,-34.1983,150.5678,Australia,AU,New South Wales,,4046,4046
Appin,-34.2067,150.7844,Australia,AU,New South Wales,,2633,2633
Tahmoor,-34.2233,150.5928,Australia,AU,New South Wales,,5067,5067
Monash,-34.2333,140.55,Australia,AU,South Australia,,1124,1124
Irymple,-34.2333,142.1667,Australia,AU,Victoria,,5325,5325
Wilton,-34.24,150.7011,Australia,AU,New South Wales,,3080,3080
Manjimup,-34.2411,116.1464,Australia,AU,Western Australia,,4349,4349
Yenda,-34.25,146.171,Australia,AU,New South Wales,,1537,1537
Barmera,-34.25,140.4667,Australia,AU,South Australia,,1914,1914
Buxton,-34.2558,150.5331,Australia,AU,New South Wales,,2028,2028
Berri,-34.2833,140.6,Australia,AU,South Australia,,4103,4088
Griffith,-34.29,146.04,Australia,AU,New South Wales,,20251,18196
Bargo,-34.2983,150.5844,Australia,AU,New South Wales,,4393,4393
Young,-34.3,148.3,Australia,AU,New South Wales,,10295,10295
Red Cliffs,-34.3075,142.1881,Australia,AU,Victoria,,5060,5060
Augusta,-34.312,115.159,Australia,AU,Western Australia,,1109,1109
Hanwood,-34.3317,146.0344,Australia,AU,New South Wales,,1256,1256
Kapunda,-34.3389,138.9167,Australia,AU,South Australia,,2917,2917
Hill Top,-34.3525,150.4917,Australia,AU,New South Wales,,2674,2674
Yerrinbool,-34.365,150.5425,Australia,AU,New South Wales,,1164,1164
Maitland,-34.3667,137.6667,Australia,AU,South Australia,,1029,1029
Tumby Bay,-34.3667,136.1,Australia,AU,South Australia,,1474,1474
Corrimal,-34.3775,150.9117,Australia,AU,New South Wales,,3405,3405
Colo Vale,-34.3983,150.4844,Australia,AU,New South Wales,,1618,1618
Ardrossan,-34.4167,137.9,Australia,AU,South Australia,,1167,1167
Wollongong,-34.4331,150.8831,Australia,AU,New South Wales,,302739,289236
Temora,-34.4333,147.5333,Australia,AU,New South Wales,,4693,4693
Boorowa,-34.4397,148.7203,Australia,AU,New South Wales,,1641,1641
Freeling,-34.45,138.8,Australia,AU,South Australia,,2214,2214
Mittagong,-34.45,150.45,Australia,AU,New South Wales,,8999,5767
Loxton,-34.4539,140.5669,Australia,AU,South Australia,,3838,3838
Crookwell,-34.4567,149.4678,Australia,AU,New South Wales,,2641,2641
Greenock,-34.4578,138.928,Australia,AU,South Australia,,1087,1087
Nuriootpa,-34.4667,138.9833,Australia,AU,South Australia,,6314,6314
Bowral,-34.4792,150.4181,Australia,AU,New South Wales,,12949,10335
Hay,-34.4983,144.8344,Australia,AU,New South Wales,,2406,2406
Angaston,-34.5,139.05,Australia,AU,South Australia,,2095,2095
Burradoo,-34.5031,150.4089,Australia,AU,New South Wales,,2645,2645
Tanunda,-34.5167,138.9667,Australia,AU,South Australia,,4588,4588
Murrumburrah,-34.5483,148.3678,Australia,AU,New South Wales,,2030,2030
Leeton,-34.5483,146.4011,Australia,AU,New South Wales,,8623,8623
Moss Vale,-34.5483,150.3678,Australia,AU,New South Wales,,8579,8579
Darlington Point,-34.565,146.0011,Australia,AU,New South Wales,,1162,1162
Robinvale,-34.5833,142.7667,Australia,AU,Victoria,,3088,3088
Robertson,-34.59,150.5928,Australia,AU,New South Wales,,1865,1865
Two Wells,-34.5962,138.5159,Australia,AU,South Australia,,1926,1926
Gawler,-34.5981,138.745,Australia,AU,South Australia,,26472,650
Lyndoch,-34.6037,138.8866,Australia,AU,South Australia,,2000,2000
Lewiston,-34.6044,138.5914,Australia,AU,South Australia,,2947,2947
Mount Barker,-34.63,117.6669,Australia,AU,Western Australia,,1905,1905
Kiama Downs,-34.6317,150.8511,Australia,AU,New South Wales,,5004,5004
Balranald,-34.6383,143.5603,Australia,AU,New South Wales,,1343,1343
Cootamundra,-34.6417,148.025,Australia,AU,New South Wales,,6782,6782
Angle Vale,-34.642,138.647,Australia,AU,South Australia,,2818,2818
Jamberoo,-34.6483,150.7761,Australia,AU,New South Wales,,1636,1636
Bundanoon,-34.6556,150.2994,Australia,AU,New South Wales,,2729,2729
Kiama,-34.6708,150.8542,Australia,AU,New South Wales,,7700,6881
Williamstown,-34.6721,138.8884,Australia,AU,South Australia,,2755,2755
Marulan,-34.715,150.0011,Australia,AU,New South Wales,,1178,1178
Port Lincoln,-34.7322,135.8586,Australia,AU,South Australia,,16326,14120
Narrandera,-34.7483,146.5511,Australia,AU,New South Wales,,4375,4375
Gerringong,-34.7483,150.8344,Australia,AU,New South Wales,,3966,3966
Goulburn,-34.7547,149.6186,Australia,AU,New South Wales,,23835,22419
Minlaton,-34.7714,137.596,Australia,AU,South Australia,,1099,1099
Mount Pleasant,-34.773,139.051,Australia,AU,South Australia,,1020,1020
Berry,-34.7817,150.7011,Australia,AU,New South Wales,,2667,2667
Kersbrook,-34.784,138.852,Australia,AU,South Australia,,1093,1093
Coleambally,-34.8067,145.8844,Australia,AU,New South Wales,,1331,1331
Birdwood,-34.8167,138.967,Australia,AU,South Australia,,1298,1298
Yass,-34.8203,148.9136,Australia,AU,New South Wales,,6506,6506
Coolamon,-34.8319,147.2011,Australia,AU,New South Wales,,2199,2199
Bomaderry,-34.848,150.605,Australia,AU,New South Wales,,6661,6661
Shoalhaven Heads,-34.85,150.7417,Australia,AU,New South Wales,,3059,3059
Junee,-34.8661,147.5822,Australia,AU,New South Wales,,4922,4922
Nowra,-34.8833,150.6,Australia,AU,New South Wales,,37420,9193
Lobethal,-34.9,138.8667,Australia,AU,South Australia,,2527,2527
Worragee,-34.9144,150.6386,Australia,AU,New South Wales,,5068,5068
Greenwell Point,-34.915,150.7344,Australia,AU,New South Wales,,1209,1209
Mannum,-34.9151,139.3044,Australia,AU,South Australia,,2644,2644
Adelaide,-34.9289,138.6011,Australia,AU,South Australia,admin,1345777,1295714
Culburra,-34.9347,150.7539,Australia,AU,New South Wales,,2874,2874
Woodside,-34.9531,138.8742,Australia,AU,South Australia,,2608,2608
Lower King,-34.9578,117.9383,Australia,AU,Western Australia,,1832,1832
Denmark,-34.96,117.3531,Australia,AU,Western Australia,,2558,2558
Murrumbateman,-34.9625,149.0261,Australia,AU,New South Wales,,3219,3219
Balhannah,-34.9833,138.8167,Australia,AU,South Australia,,1075,1075
Stirling,-35.0022,138.706,Australia,AU,South Australia,,2966,2966
Aldgate,-35.0153,138.736,Australia,AU,South Australia,,3361,3361
Bridgewater,-35.0164,138.768,Australia,AU,South Australia,,3498,3498
Albany,-35.0228,117.8814,Australia,AU,Western Australia,,34205,29373
Hahndorf,-35.0303,138.8076,Australia,AU,South Australia,,2670,2670
Gundaroo,-35.0317,149.2844,Australia,AU,New South Wales,,1146,1146
Nairne,-35.0333,138.9167,Australia,AU,South Australia,,4842,4842
Tomerong,-35.0494,150.5667,Australia,AU,New South Wales,,1065,1065
