city,lat,lng,country,iso2,state,capital,population,population_proper
Mylor,-35.05,138.75,Australia,AU,South Australia,,1097,1097
Little Hampton,-35.05,138.85,Australia,AU,South Australia,,3044,3044
Gundagai,-35.065,148.1011,Australia,AU,New South Wales,,1676,1676
Ouyen,-35.0667,142.317,Australia,AU,Victoria,,1191,1191
Mount Barker,-35.0667,138.85,Australia,AU,South Australia,,16629,13842
Little Grove,-35.07,117.87,Australia,AU,Western Australia,,1503,1503
Vincentia,-35.0758,150.6742,Australia,AU,New South Wales,,3290,3290
Basin View,-35.0928,150.5572,Australia,AU,New South Wales,,1554,1554
Echunga,-35.1,138.7833,Australia,AU,South Australia,,1109,1109
Sanctuary Point,-35.1036,150.6267,Australia,AU,New South Wales,,7225,7225
Murray Bridge,-35.117,139.267,Australia,AU,South Australia,,18779,14560
Wagga Wagga,-35.1189,147.3689,Australia,AU,New South Wales,,56442,54411
Sussex Inlet,-35.125,150.5436,Australia,AU,New South Wales,,3575,3575
Saint Georges Basin,-35.13,150.6269,Australia,AU,New South Wales,,2913,2913
Sutton,-35.1483,149.2178,Australia,AU,New South Wales,,1660,1660
Bywong,-35.165,149.3344,Australia,AU,New South Wales,,1322,1322
Macclesfield,-35.1667,138.833,Australia,AU,South Australia,,1352,1352
Meadows,-35.1833,138.75,Australia,AU,South Australia,,1369,1369
McLaren Flat,-35.208,138.5865,Australia,AU,South Australia,,1121,1121
Lockhart,-35.215,146.7178,Australia,AU,New South Wales,,1061,1061
McLaren Vale,-35.2198,138.5411,Australia,AU,South Australia,,3096,3096
Bungendore,-35.2483,149.4511,Australia,AU,New South Wales,,4178,4178
Tailem Bend,-35.25,139.45,Australia,AU,South Australia,,1665,1665
The Rock,-35.265,147.1178,Australia,AU,New South Wales,,1236,1236
Strathalbyn,-35.2667,138.9,Australia,AU,South Australia,,6504,6504
Willunga,-35.274,138.5535,Australia,AU,South Australia,,2308,2308
Canberra,-35.2931,149.1269,Australia,AU,Australian Capital Territory,primary,426704,381488
Milton,-35.3042,150.4408,Australia,AU,New South Wales,,1663,1663
Tumut,-35.3047,148.2228,Australia,AU,New South Wales,,6230,6230
Swan Hill,-35.3333,143.55,Australia,AU,Victoria,,11103,9864
Mollymook,-35.3372,150.4667,Australia,AU,New South Wales,,1083,1083
Ulladulla,-35.3486,150.4678,Australia,AU,New South Wales,,15278,15278
Jerilderie,-35.35,145.7333,Australia,AU,New South Wales,,1029,1029
Mount Compass,-35.3506,138.6203,Australia,AU,South Australia,,1731,1457
Queanbeyan,-35.3533,149.2342,Australia,AU,New South Wales,,36348,6237
Burrill Lake,-35.3817,150.4511,Australia,AU,New South Wales,,1465,1465
Braidwood,-35.4483,149.8011,Australia,AU,New South Wales,,1651,1651
Middleton,-35.5,138.7,Australia,AU,South Australia,,1156,1156
Goolwa,-35.5,138.7667,Australia,AU,South Australia,,2350,2350
Henty,-35.515,147.0344,Australia,AU,New South Wales,,1237,1237
Batlow,-35.515,148.1344,Australia,AU,New South Wales,,1313,1313
Port Elliot,-35.5167,138.6667,Australia,AU,South Australia,,2102,2102
Hindmarsh,-35.5167,138.8667,Australia,AU,South Australia,,1398,1398
Deniliquin,-35.5317,144.9344,Australia,AU,New South Wales,,7862,7862
Victor Harbor,-35.55,138.6167,Australia,AU,South Australia,,4233,4233
Encounter Bay,-35.5742,138.6005,Australia,AU,South Australia,,4901,4901
Barham,-35.5806,144.195,Australia,AU,New South Wales,,1518,1518
Finley,-35.6317,145.5678,Australia,AU,New South Wales,,2519,2519
Berrigan,-35.6317,145.8011,Australia,AU,New South Wales,,1260,1260
Kingscote,-35.6531,137.6342,Australia,AU,South Australia,,1790,1790
Culcairn,-35.665,147.0344,Australia,AU,New South Wales,,1473,1473
Meningie,-35.6883,139.338,Australia,AU,South Australia,,1118,1118
Surfside,-35.695,150.1997,Australia,AU,New South Wales,,1371,1371
Long Beach,-35.6983,150.2344,Australia,AU,New South Wales,,1436,1436
Batemans Bay,-35.7081,150.1744,Australia,AU,New South Wales,,11294,1530
Holbrook,-35.715,147.3178,Australia,AU,New South Wales,,1715,1715
Kerang,-35.7167,143.9167,Australia,AU,Victoria,,3893,3893
Batehaven,-35.7317,150.2011,Australia,AU,New South Wales,,1776,1776
Tumbarumba,-35.7833,148.0167,Australia,AU,New South Wales,,1862,1862
Cohuna,-35.8,144.2,Australia,AU,Victoria,,2428,2428
Malua Bay,-35.8,150.2333,Australia,AU,New South Wales,,1929,1929
Tocumwal,-35.815,145.5681,Australia,AU,New South Wales,,1527,1527
Tomakin,-35.8228,150.1894,Australia,AU,New South Wales,,1001,1001
Broulee,-35.8483,150.1678,Australia,AU,New South Wales,,1717,1717
Barooga,-35.9067,145.6928,Australia,AU,New South Wales,,1817,1817
Moruya,-35.9111,150.0806,Australia,AU,New South Wales,,3982,3982
Jindera,-35.95,146.9,Australia,AU,New South Wales,,2222,2222
Table Top,-35.965,147.0011,Australia,AU,New South Wales,,1425,1425
Cobram,-35.9667,145.65,Australia,AU,Victoria,,6014,6014
Howlong,-35.9817,146.6344,Australia,AU,New South Wales,,2777,2777
Mulwala,-35.9817,146.0011,Australia,AU,New South Wales,,1904,1904
Corowa,-35.9833,146.3833,Australia,AU,New South Wales,,5482,5482
Wahgunyah,-36.0,146.3833,Australia,AU,Victoria,,1098,1098
Yarrawonga,-36.0167,146.0,Australia,AU,Victoria,,7930,7930
Rutherglen,-36.0556,146.4625,Australia,AU,Victoria,,2378,2378
Nathalia,-36.0583,145.204,Australia,AU,Victoria,,1880,1880
Tuross Head,-36.065,150.1344,Australia,AU,New South Wales,,2241,2241
Albury,-36.0806,146.9158,Australia,AU,New South Wales,,47974,4804
Moama,-36.0833,144.75,Australia,AU,New South Wales,,4198,4198
Numurkah,-36.0833,145.4333,Australia,AU,Victoria,,4477,4477
Keith,-36.0991,140.3541,Australia,AU,South Australia,,1076,1076
Wodonga,-36.1214,146.8881,Australia,AU,Victoria,,35130,18948
Echuca,-36.1333,144.75,Australia,AU,Victoria,,14934,14043
Chiltern,-36.15,146.6,Australia,AU,Victoria,,1605,1605
Dalmeny,-36.165,150.1344,Australia,AU,New South Wales,,1937,1937
Baranduda,-36.1847,146.9613,Australia,AU,Victoria,,2370,2370
Corryong,-36.1981,147.899,Australia,AU,Victoria,,1348,1348
Tallangatta,-36.2,147.25,Australia,AU,Victoria,,1082,1082
Narooma,-36.2,150.1333,Australia,AU,New South Wales,,2605,2605
Cooma,-36.235,149.1258,Australia,AU,New South Wales,,6681,6681
Tongala,-36.25,144.95,Australia,AU,Victoria,,1926,1926
Warracknabeal,-36.25,142.417,Australia,AU,Victoria,,2340,2340
Charlton,-36.2667,143.35,Australia,AU,Victoria,,1050,1050
Bordertown,-36.3118,140.7702,Australia,AU,South Australia,,2953,2953
Yackandandah,-36.3131,146.8392,Australia,AU,Victoria,,1811,1811
Donald,-36.3157,142.953,Australia,AU,Victoria,,1498,1498
Kyabram,-36.3167,145.05,Australia,AU,Victoria,,7321,7321
Nhill,-36.3333,141.65,Australia,AU,Victoria,,1872,1872
Wangaratta,-36.3583,146.3125,Australia,AU,Victoria,,19318,17377
Beechworth,-36.3594,146.6869,Australia,AU,Victoria,,3859,3859
Berridale,-36.365,148.8178,Australia,AU,New South Wales,,1197,1197
Rochester,-36.3667,144.7,Australia,AU,Victoria,,3113,3113
Mooroopna,-36.3833,145.35,Australia,AU,Victoria,,7942,7942
Shepparton,-36.3833,145.4,Australia,AU,Victoria,,51631,31197
Jindabyne,-36.415,148.6178,Australia,AU,New South Wales,,2629,2629
Bermagui,-36.4317,150.0678,Australia,AU,New South Wales,,1536,1536
Tatura,-36.4333,145.233,Australia,AU,Victoria,,4448,4448
Dimboola,-36.45,142.0167,Australia,AU,Victoria,,1730,1730
Myrtleford,-36.55,146.717,Australia,AU,Victoria,,3193,3193
Benalla,-36.5519,145.9817,Australia,AU,Victoria,,9298,9298
Rushworth,-36.5833,145.0167,Australia,AU,Victoria,,1335,1335
Saint Arnaud,-36.6,143.25,Australia,AU,Victoria,,2193,2193
Huntly,-36.6649,144.329,Australia,AU,Victoria,,2379,2379
Bega,-36.6847,149.8422,Australia,AU,New South Wales,,4668,4668
Horsham,-36.7167,142.2,Australia,AU,Victoria,,16514,14543
Bright,-36.725,146.963,Australia,AU,Victoria,,2406,2406
Tathra,-36.7317,149.9844,Australia,AU,New South Wales,,1675,1675
Marong,-36.7333,144.133,Australia,AU,Victoria,,1416,1416
Bendigo,-36.75,144.2667,Australia,AU,Victoria,,99122,95587
Euroa,-36.75,145.567,Australia,AU,Victoria,,3275,3275
Junortoun,-36.7667,144.35,Australia,AU,Victoria,,3201,3201
Nagambie,-36.7703,145.155,Australia,AU,Victoria,,1886,1886
Kangaroo Flat,-36.8,144.25,Australia,AU,Victoria,,10394,10394
Kingston South East,-36.8167,139.85,Australia,AU,South Australia,,1648,1393
Tura Beach,-36.8483,149.9261,Australia,AU,New South Wales,,3158,3158
Merimbula,-36.8983,149.9011,Australia,AU,New South Wales,,3544,3544
Avenel,-36.9,145.233,Australia,AU,Victoria,,1048,1048
Heathcote,-36.9167,144.7,Australia,AU,Victoria,,2793,2793
Bombala,-36.9167,149.2333,Australia,AU,New South Wales,,1387,1387
Naracoorte,-36.955,140.7429,Australia,AU,South Australia,,5960,5960
Maldon,-36.9917,144.0667,Australia,AU,Victoria,,1513,1513
Puckapunyal,-37.0,145.033,Australia,AU,Victoria,,1078,1078
Seymour,-37.03,145.13,Australia,AU,Victoria,,6327,6327
Carisbrook,-37.0481,143.817,Australia,AU,Victoria,,1115,1115
Maryborough,-37.05,143.735,Australia,AU,Victoria,,7921,7921
Stawell,-37.05,142.7667,Australia,AU,Victoria,,6032,5736
Mansfield,-37.05,146.083,Australia,AU,Victoria,,4787,4787
Castlemaine,-37.0636,144.2172,Australia,AU,Victoria,,6757,6757
Eden,-37.065,149.9011,Australia,AU,New South Wales,,3151,3151
Chewton,-37.0833,144.267,Australia,AU,Victoria,,1313,1313
Avoca,-37.0881,143.4739,Australia,AU,Victoria,,1193,1193
Campbells Creek,-37.1,144.2,Australia,AU,Victoria,,1786,1786
Robe,-37.15,139.75,Australia,AU,South Australia,,1090,1090
Alexandra,-37.1917,145.71,Australia,AU,Victoria,,2695,2695
Broadford,-37.2,145.067,Australia,AU,Victoria,,4319,4319
Yea,-37.2,145.4167,Australia,AU,Victoria,,1587,1587
Kyneton,-37.2333,144.45,Australia,AU,Victoria,,6951,6951
Ararat,-37.2833,142.9167,Australia,AU,Victoria,,8300,8297
Kilmore,-37.2833,144.95,Australia,AU,Victoria,,7958,7958
Clunes,-37.3,143.7833,Australia,AU,Victoria,,1728,1728
Daylesford,-37.35,144.15,Australia,AU,Victoria,,2548,2548
Romsey,-37.35,144.75,Australia,AU,Victoria,,4412,4412
Woodend,-37.363,144.526,Australia,AU,Victoria,,5806,5806
Penola,-37.3786,140.8362,Australia,AU,South Australia,,1312,1312
Trentham,-37.3833,144.3167,Australia,AU,Victoria,,1180,1180
Mount Macedon,-37.4,144.5833,Australia,AU,Victoria,,1335,1335
Macedon,-37.4167,144.5667,Australia,AU,Victoria,,2040,2040
Wallan,-37.4167,144.9833,Australia,AU,Victoria,,8520,8504
Creswick,-37.4333,143.9,Australia,AU,Victoria,,3170,3170
Beaufort,-37.4333,143.3667,Australia,AU,Victoria,,1539,1539
Riddell,-37.4667,144.683,Australia,AU,Victoria,,3753,3753
Kinglake West,-37.4667,145.233,Australia,AU,Victoria,,1166,1166
Beveridge,-37.4833,144.9833,Australia,AU,Victoria,,2330,2330
Miners Rest,-37.486,143.757,Australia,AU,Victoria,,3095,3095
Eden Park,-37.489,145.07,Australia,AU,Victoria,,1204,1204
Gisborne,-37.49,144.5889,Australia,AU,Victoria,,13963,8999
Whittlesea,-37.5139,145.114,Australia,AU,Victoria,,5611,5611
Kinglake,-37.5328,145.3411,Australia,AU,Victoria,,1536,1536
Ballarat,-37.55,143.85,Australia,AU,Victoria,,105471,98543
Mallacoota,-37.55,149.75,Australia,AU,Victoria,,1063,1063
Sunbury,-37.5811,144.7139,Australia,AU,Victoria,,36084,36084
Casterton,-37.5833,141.4,Australia,AU,Victoria,,1668,1668
Gordon,-37.5833,144.1,Australia,AU,Victoria,,1151,1151
Mount Clear,-37.5833,143.8667,Australia,AU,Victoria,,2203,2203
Haddon,-37.5908,143.719,Australia,AU,Victoria,,1194,1194
Millicent,-37.5967,140.3524,Australia,AU,South Australia,,4734,4734
Wollert,-37.597,145.033,Australia,AU,Victoria,,9060,9060
Ballan,-37.6,144.25,Australia,AU,Victoria,,2985,2985
Coleraine,-37.6,141.7,Australia,AU,Victoria,,1029,1029
Hurstbridge,-37.6389,145.195,Australia,AU,Victoria,,3450,3450
Panton Hill,-37.643,145.239,Australia,AU,Victoria,,1062,1062
Yarra Glen,-37.6489,145.3719,Australia,AU,Victoria,,2869,2869
Smythesdale,-37.65,143.6833,Australia,AU,Victoria,,1032,1032
Buninyong,-37.6503,143.8839,Australia,AU,Victoria,,3714,3714
Darley,-37.6547,144.437,Australia,AU,Victoria,,8372,8372
Healesville,-37.6561,145.5139,Australia,AU,Victoria,,7461,7461
Wattleglen,-37.663,145.183,Australia,AU,Victoria,,1961,1961
Bacchus Marsh,-37.675,144.4389,Australia,AU,Victoria,,22223,6394
Melton,-37.6833,144.5833,Australia,AU,Victoria,,8069,8069
Maddingley,-37.6864,144.4336,Australia,AU,Victoria,,3453,3453
Orbost,-37.7,148.45,Australia,AU,Victoria,,2014,2014
Badger Creek,-37.7,145.5167,Australia,AU,Victoria,,1563,1563
Rockbank,-37.7333,144.667,Australia,AU,Victoria,,1536,1536
Hamilton,-37.7333,142.0167,Australia,AU,Victoria,,9974,9974
Coldstream,-37.734,145.383,Australia,AU,Victoria,,2164,2164
Wonga Park,-37.739,145.267,Australia,AU,Victoria,,3796,3796
Millgrove,-37.753,145.652,Australia,AU,Victoria,,1653,1653
Warburton,-37.755,145.697,Australia,AU,Victoria,,2012,2012
Wesburn,-37.767,145.647,Australia,AU,Victoria,,1019,1019
Woori Yallock,-37.778,145.528,Australia,AU,Victoria,,2913,2913
Yarra Junction,-37.779,145.606,Australia,AU,Victoria,,2549,2549
Launching Place,-37.7806,145.5683,Australia,AU,Victoria,,2394,2394
Mount Evelyn,-37.7833,145.3833,Australia,AU,Victoria,,9702,9702
Wy Yung,-37.7953,147.6073,Australia,AU,Victoria,,1657,1657
Lucknow,-37.8133,147.6481,Australia,AU,Victoria,,1254,1254
Melbourne,-37.8136,144.9631,Australia,AU,Victoria,admin,5078193,4529500
Nicholson,-37.8167,147.7333,Australia,AU,Victoria,,1095,1095
Silvan,-37.824,145.421,Australia,AU,Victoria,,1246,1246
Mount Gambier,-37.8294,140.7828,Australia,AU,South Australia,,29639,25512
Mount Dandenong,-37.8311,145.36,Australia,AU,Victoria,,1251,1251
Bairnsdale,-37.8333,147.6167,Australia,AU,Victoria,,7580,7580
Briagolong,-37.8333,147.067,Australia,AU,Victoria,,1081,1081
Olinda,-37.856,145.364,Australia,AU,Victoria,,1738,1738
Lakes Entrance,-37.8667,147.9833,Australia,AU,Victoria,,4810,4810
Sassafras Gully,-37.87,145.354,Australia,AU,Victoria,,1061,1061
Metung,-37.8833,147.85,Australia,AU,Victoria,,1449,1449
Ferny Creek,-37.8833,145.3333,Australia,AU,Victoria,,1518,1518
Eagle Point,-37.9,147.683,Australia,AU,Victoria,,1094,1094
Paynesville,-37.9167,147.7167,Australia,AU,Victoria,,3480,3480
Little River,-37.933,144.5,Australia,AU,Victoria,,1322,1322
Emerald,-37.9331,145.437,Australia,AU,Victoria,,5778,5778
Lysterfield,-37.9333,145.3,Australia,AU,Victoria,,6663,6663
Cockatoo,-37.935,145.492,Australia,AU,Victoria,,4256,4256
Belgrave South,-37.94,145.356,Australia,AU,Victoria,,1645,1645
Gembrook,-37.95,145.541,Australia,AU,Victoria,,2350,2350
Maffra,-37.95,146.983,Australia,AU,Victoria,,5280,5280
Lethbridge,-37.9667,144.133,Australia,AU,Victoria,,1014,1014
Stratford,-37.9667,147.083,Australia,AU,Victoria,,2617,2617
Dandenong,-37.981,145.215,Australia,AU,Victoria,,29906,29906
Narre Warren North,-37.9833,145.3167,Australia,AU,Victoria,,7674,7674
Heyfield,-37.9833,146.783,Australia,AU,Victoria,,1993,1993
Beaconsfield Upper,-37.996,145.415,Australia,AU,Victoria,,2861,2861
Neerim South,-38.0167,145.9667,Australia,AU,Victoria,,1305,1305
Lara,-38.0167,144.4167,Australia,AU,Victoria,,16355,16355
Teesdale,-38.0333,144.05,Australia,AU,Victoria,,1721,1721
Bannockburn,-38.05,144.1667,Australia,AU,Victoria,,5283,5283
Mortlake,-38.0667,142.8,Australia,AU,Victoria,,1372,1372
Garfield,-38.0667,145.683,Australia,AU,Victoria,,1786,1786
Pakenham,-38.0712,145.4878,Australia,AU,Victoria,,46421,46421
Lyndhurst,-38.081,145.207,Australia,AU,Victoria,,4981,4981
Nar Nar Goon,-38.0819,145.575,Australia,AU,Victoria,,1012,1012
Bunyip,-38.0833,145.717,Australia,AU,Victoria,,2468,2468
Longwarry,-38.1,145.767,Australia,AU,Victoria,,2004,2004
Sale,-38.1,147.0667,Australia,AU,Victoria,,15135,13673
Inverleigh,-38.1,144.05,Australia,AU,Victoria,,1474,1474
Wurruk,-38.113,147.021,Australia,AU,Victoria,,1112,1112
Portarlington,-38.1167,144.65,Australia,AU,Victoria,,3619,3619
Heywood,-38.1333,141.617,Australia,AU,Victoria,,1726,1726
Glengarry,-38.1333,146.55,Australia,AU,Victoria,,1084,1084
Drouin,-38.1333,145.85,Australia,AU,Victoria,,11887,11887
Indented Head,-38.1381,144.71,Australia,AU,Victoria,,1133,1133
Clifton Springs,-38.15,144.5667,Australia,AU,Victoria,,7519,7519
Warragul,-38.15,145.9333,Australia,AU,Victoria,,14276,14276
Rosedale,-38.15,146.783,Australia,AU,Victoria,,1654,1654
Geelong,-38.15,144.35,Australia,AU,Victoria,,263280,191440
Frankston,-38.158,145.135,Australia,AU,Victoria,,36097,36097
Devon Meadows,-38.162,145.303,Australia,AU,Victoria,,1548,1548
Longford,-38.1642,147.087,Australia,AU,Victoria,,1497,1497
Yallourn North,-38.1667,146.367,Australia,AU,Victoria,,1545,1545
Saint Leonards,-38.1667,144.7167,Australia,AU,Victoria,,2480,2480
Drysdale,-38.1667,144.5667,Australia,AU,Victoria,,4275,4275
Moe,-38.1722,146.2678,Australia,AU,Victoria,,8778,8778
Curlewis,-38.1833,144.5,Australia,AU,Victoria,,1551,1551
Langwarrin,-38.189,145.189,Australia,AU,Victoria,,1248,1248
Mount Eliza,-38.189,145.092,Australia,AU,Victoria,,17888,17888
Leopold,-38.1892,144.4644,Australia,AU,Victoria,,12814,12814
Traralgon,-38.1958,146.5403,Australia,AU,Victoria,,25485,24933
Baxter,-38.196,145.157,Australia,AU,Victoria,,2162,2162
Trafalgar,-38.2,146.15,Australia,AU,Victoria,,3912,3912
Wallington,-38.2,144.4833,Australia,AU,Victoria,,1364,1364
Yarragon,-38.2,146.067,Australia,AU,Victoria,,1650,1650
Pearcedale,-38.203,145.231,Australia,AU,Victoria,,3821,3821
Tooradin,-38.2111,145.38,Australia,AU,Victoria,,1568,1568
Somerville,-38.226,145.177,Australia,AU,Victoria,,11336,11336
Camperdown,-38.2333,143.15,Australia,AU,Victoria,,3369,3369
Morwell,-38.2333,146.4,Australia,AU,Victoria,,14026,13771
Winchelsea,-38.2333,143.9833,Australia,AU,Victoria,,1954,1954
Terang,-38.2333,142.9333,Australia,AU,Victoria,,2288,2288
Moorooduc,-38.247,145.105,Australia,AU,Victoria,,1098,1098
Barwon Heads,-38.25,144.5167,Australia,AU,Victoria,,14165,14165
Tyabb,-38.259,145.189,Australia,AU,Victoria,,3338,3338
Queenscliff,-38.2667,144.65,Australia,AU,Victoria,,1315,1315
Lang Lang,-38.2667,145.567,Australia,AU,Victoria,,1585,1585
Koroit,-38.2833,142.367,Australia,AU,Victoria,,2055,2055
Point Lonsdale,-38.2833,144.6,Australia,AU,Victoria,,2684,2684
Churchill,-38.3167,146.417,Australia,AU,Victoria,,4783,4783
Cobden,-38.3333,143.067,Australia,AU,Victoria,,1839,1839
Bellbrae,-38.3333,144.3,Australia,AU,Victoria,,3683,865
Portland,-38.3333,141.6,Australia,AU,Victoria,,10900,9712
Nyora,-38.3333,145.667,Australia,AU,Victoria,,1527,1527
Torquay,-38.3333,144.3167,Australia,AU,Victoria,,13258,13258
Dromana,-38.338,144.965,Australia,AU,Victoria,,5803,5803
Sorrento,-38.3396,144.7413,Australia,AU,Victoria,,1592,1592
Colac,-38.3403,143.5847,Australia,AU,Victoria,,12547,9048
McCrae,-38.3497,144.9281,Australia,AU,Victoria,,2823,2823
Dennington,-38.3558,142.441,Australia,AU,Victoria,,1907,1907
Crib Point,-38.363,145.202,Australia,AU,Victoria,,3183,3183
Port Fairy,-38.3667,142.2333,Australia,AU,Victoria,,3340,3340
Balnarring,-38.371,145.118,Australia,AU,Victoria,,2270,2270
Rye,-38.377,144.838,Australia,AU,Victoria,,8416,8416
Warrnambool,-38.3833,142.4833,Australia,AU,Victoria,,35214,29661
Allansford,-38.3861,142.593,Australia,AU,Victoria,,1521,1521
Somers,-38.393,145.163,Australia,AU,Victoria,,1667,1667
Mirboo North,-38.4,146.15,Australia,AU,Victoria,,2197,2197
Anglesea,-38.4064,144.1869,Australia,AU,Victoria,,2545,2545
Korumburra,-38.4333,145.8167,Australia,AU,Victoria,,4469,4469
Cowes,-38.4511,145.2419,Australia,AU,Victoria,,4839,4839
Timboon,-38.4833,142.9667,Australia,AU,Victoria,,1202,1202
Leongatha,-38.4833,145.95,Australia,AU,Victoria,,5119,5119
San Remo,-38.5167,145.3667,Australia,AU,Victoria,,1254,1254
Lorne,-38.5333,143.967,Australia,AU,Victoria,,1114,1114
Yarram,-38.55,146.6667,Australia,AU,Victoria,,2135,2135
North Wonthaggi,-38.6,145.6,Australia,AU,Victoria,,2806,2806
Wonthaggi,-38.6056,145.5917,Australia,AU,Victoria,,4965,4965
Inverloch,-38.6334,145.7278,Australia,AU,Victoria,,5437,5437
Foster,-38.65,146.2,Australia,AU,Victoria,,1842,1842
Apollo Bay,-38.75,143.65,Australia,AU,Victoria,,1598,1598
Currie,-39.9311,143.851,Australia,AU,Tasmania,minor,768,768
Smithton,-40.844,145.12,Australia,AU,Tasmania,,3881,3881
Wynyard,-41.0,145.7167,Australia,AU,Tasmania,,6001,6001
Bridport,-41.0005,147.3918,Australia,AU,Tasmania,,1568,1568
Somerset,-41.05,145.8333,Australia,AU,Tasmania,,3903,3903
Burnie,-41.0636,145.8753,Australia,AU,Tasmania,,19385,19385
George Town,-41.1,146.8167,Australia,AU,Tasmania,,4347,4347
Penguin,-41.1167,146.0708,Australia,AU,Tasmania,,3849,3849
Beauty Point,-41.1622,146.8215,Australia,AU,Tasmania,,1222,1222
Ulverstone,-41.1667,146.1667,Australia,AU,Tasmania,,14109,14109
Scottsdale,-41.1667,147.5167,Australia,AU,Tasmania,,2373,2373
Port Sorell,-41.1667,146.55,Australia,AU,Tasmania,,2022,2022
Devonport,-41.1806,146.3464,Australia,AU,Tasmania,,23046,23046
Beaconsfield,-41.2,146.8,Australia,AU,Tasmania,,1298,1298
Spreyton,-41.2167,146.35,Australia,AU,Tasmania,,1669,1669
Latrobe,-41.2464,146.4246,Australia,AU,Tasmania,,4169,4169
Saint Helens,-41.3167,148.2333,Australia,AU,Tasmania,,2070,2070
Legana,-41.3667,147.05,Australia,AU,Tasmania,,4029,4029
Sheffield,-41.3822,146.3247,Australia,AU,Tasmania,,1552,1552
Launceston,-41.4419,147.145,Australia,AU,Tasmania,,87328,87328
Hadspen,-41.5,147.067,Australia,AU,Tasmania,,2275,2275
Westbury,-41.5167,146.85,Australia,AU,Tasmania,,2006,2006
Deloraine,-41.5333,146.6667,Australia,AU,Tasmania,,2848,2848
Perth,-41.5731,147.1714,Australia,AU,Tasmania,,2965,2965
Evandale,-41.5833,147.2333,Australia,AU,Tasmania,,1345,1345
Longford,-41.5958,147.122,Australia,AU,Tasmania,,3863,3863
Cressy,-41.6833,147.083,Australia,AU,Tasmania,,1111,1111
Queenstown,-42.0667,145.55,Australia,AU,Tasmania,,1790,1790
Oatlands,-42.2996,147.3666,Australia,AU,Tasmania,,1157,1157
Bagdad,-42.6167,147.217,Australia,AU,Tasmania,,1356,1356
Richmond,-42.7336,147.4394,Australia,AU,Tasmania,,1464,1464
New Norfolk,-42.7828,147.0594,Australia,AU,Tasmania,,5432,5432
Sorell,-42.7831,147.5625,Australia,AU,Tasmania,,2907,2907
Dodges Ferry,-42.8539,147.6194,Australia,AU,Tasmania,,2467,2467
Seven Mile Beach,-42.8586,147.5053,Australia,AU,Tasmania,,1286,1286
Carlton,-42.874,147.6534,Australia,AU,Tasmania,,1119,1119
Hobart,-42.8806,147.325,Australia,AU,Tasmania,admin,240342,222356
Kingston,-42.9769,147.3083,Australia,AU,Tasmania,,10409,10409
Ranelagh,-43.0167,147.0333,Australia,AU,Tasmania,,1268,1268
Margate,-43.0294,147.2617,Australia,AU,Tasmania,,3920,3920
Huonville,-43.0333,147.0333,Australia,AU,Tasmania,,2714,2714
Snug,-43.0671,147.2556,Australia,AU,Tasmania,,1199,1199
Franklin,-43.0833,147.017,Australia,AU,Tasmania,,1094,1094
Cygnet,-43.15,147.067,Australia,AU,Tasmania,,1556,1556
Geeveston,-43.1667,146.933,Australia,AU,Tasmania,,1302,1302
